menu_id;user_id;date;cafe_da_manha;lanche_da_manha;almoco;lanche_da_tarde;jantar;ceia;""""
1;teste1;16/10/2023;teste cafe da manha 1;teste2;teste3;teste4;teste5;teste6;""""
2;teste1;17/10/2023;teste cafe da manha 2;teste2;teste3;teste4;teste5;teste6;""""
3;teste1;18/10/2023;teste cafe da manha 3;teste2;teste3;teste4;teste5;teste6;""""
4;teste1;19/10/2023;teste cafe da manha 4;teste2;teste3;teste4;teste5;teste6;""""
5;teste1;20/10/2023;teste cafe da manha 5;teste2;teste3;teste4;teste5;teste6;""""
6;teste1;21/10/2023;teste cafe da manha 6;teste2;teste3;teste4;teste5;teste6;""""
7;teste1;22/10/2023;teste cafe da manha 7;teste2;teste3;teste4;teste5;teste6;""""
8;teste1;23/10/2023;teste cafe da manha 8;teste2;teste3;teste4;teste5;teste6;""""
9;teste1;24/10/2023;teste cafe da manha 9;teste2;teste3;teste4;teste5;teste6;""""
10;teste1;25/10/2023;teste cafe da manha 10;teste2;teste3;teste4;teste5;teste6;""""
